payment_id,amount,customer_id,customer_name,customer_phone,customer_email,razorpay_error_code,prior_payments,prior_recoveries,customer_opted_out,failed_at
pay_2c251fa9f5b7,33473.69,cust_b3b325c1,Kabir,+919883171399,kabir807@example.com,,5,4,False,2026-08-27T03:06:03.267594
pay_7b3f118b5683,11972.32,cust_251d2844,Isha,+919865192639,isha820@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,11,6,False,2026-08-25T22:36:16.793802
pay_0d207f943e27,36887.52,cust_a7c88b89,Nisha,+919858454423,nisha187@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,1,1,False,2026-08-26T23:46:11.179610
pay_0b0f77e821c2,5031.46,cust_942ae56d,Karan,+919821347375,karan412@example.com,,4,3,False,2026-08-24T23:28:25.140390
pay_ea6629743bd1,22451.2,cust_bb3f938d,Vivaan,+919873514711,vivaan245@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,2,1,False,2026-08-26T05:30:54.227047
pay_f8078ddb94ce,17735.59,cust_74946d2b,Kabir,+919875325780,kabir966@example.com,,11,5,False,2026-08-26T01:03:04.333460
pay_ba76cb930805,42780.15,cust_7621e229,Priya,+919859423156,priya876@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,3,0,False,2026-08-25T21:04:57.194549
pay_ea68ed48bbdd,14385.47,cust_354a3999,Aarav,+919811980039,aarav548@example.com,SUBSCRIPTION_CHARGE_FAILED,9,6,False,2026-08-25T15:40:01.364670
pay_94091a05674e,38141.46,cust_e45dda95,Nisha,+919839785312,nisha368@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,4,0,False,2026-08-26T15:04:24.039273
pay_3acb11baff48,49043.43,cust_fc59114d,Priya,+919824500103,priya382@example.com,,1,0,False,2026-08-26T22:32:08.795345
pay_5ea74c3f0e1e,38991.49,cust_30c650ac,Isha,+919818281354,isha805@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,2,2,False,2026-08-25T06:22:35.413697
pay_8b83db646a67,40003.86,cust_0d8ab14e,Arjun,+919829606159,arjun69@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,9,1,False,2026-08-26T08:44:07.139725
pay_1d440270f54c,15076.7,cust_9bddbc75,Isha,+919883435440,isha51@example.com,SUBSCRIPTION_CHARGE_FAILED,10,8,False,2026-08-25T09:00:58.769851
pay_8f3464f0a4a4,10170.5,cust_e243ad0a,Diya,+919859928578,diya119@example.com,INSUFFICIENT_FUNDS,6,5,True,2026-08-25T16:53:41.301776
pay_de5a302e7d0c,48273.81,cust_1ceb35eb,Karan,+919855370854,karan152@example.com,BAD_REQUEST_PAYMENT_CARD_EXPIRED,2,2,False,2026-08-26T08:14:10.679189
pay_1cb64116491b,46644.56,cust_0a062404,Isha,+919885110939,isha452@example.com,,5,1,False,2026-08-26T03:33:41.808402
pay_b5e7d41a976b,32203.97,cust_b158e02f,Sara,+919897513437,sara957@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,1,0,False,2026-08-24T21:51:01.621163
pay_113cfca38e11,15528.07,cust_984bb31f,Ananya,+919821375643,ananya339@example.com,,10,1,False,2026-08-26T09:27:10.045700
pay_69aebdc2f4fe,48948.45,cust_bd264190,Priya,+919872179364,priya912@example.com,,12,6,False,2026-08-26T16:03:26.139805
pay_822ffd1ad192,20854.02,cust_5178be51,Diya,+919850461297,diya397@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,3,3,False,2026-08-25T16:56:03.332117
pay_262231e39af7,48191.81,cust_02a735fd,Sara,+919847006368,sara344@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,10,6,False,2026-08-24T12:02:51.509023
pay_8b1e06e0db0c,23573.26,cust_066d24d2,Rahul,+919893419791,rahul974@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,3,1,False,2026-08-24T15:40:44.454996
pay_c8793479436d,47261.58,cust_c0fdab78,Rahul,+919852048512,rahul446@example.com,INSUFFICIENT_FUNDS,3,0,False,2026-08-25T20:07:46.545549
pay_0116deee5f78,47228.9,cust_1458d6ff,Meera,+919856076003,meera592@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,12,5,False,2026-08-25T12:04:49.147306
pay_76cee4592ca2,22206.16,cust_e9d69c94,Aarav,+919863097249,aarav97@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,12,7,False,2026-08-26T16:53:52.496745
pay_5a554db966b3,37316.83,cust_d5924a48,Ananya,+919893645665,ananya816@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,10,5,False,2026-08-26T00:22:04.761650
pay_f0c5622e27b9,20492.79,cust_49b84367,Diya,+919881413379,diya770@example.com,SUBSCRIPTION_CHARGE_FAILED,12,1,False,2026-08-27T03:24:19.341706
pay_4431c1a71db1,34588.8,cust_c4f28392,Kabir,+919858430501,kabir878@example.com,,6,6,False,2026-08-26T11:34:23.415244
pay_9134c1cc5257,15334.04,cust_e394a216,Aarav,+919816714514,aarav32@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,8,8,False,2026-08-25T21:53:56.197036
pay_a6c0a91c2466,18420.92,cust_a9d00500,Vivaan,+919876820452,vivaan185@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,7,2,False,2026-08-25T14:34:17.037944
pay_60d54d0e13ef,4102.48,cust_c1b7684a,Arjun,+919851900091,arjun740@example.com,INSUFFICIENT_FUNDS,6,3,False,2026-08-24T23:48:00.266116
pay_3b8b1fc9d2f0,41794.83,cust_060fad79,Arjun,+919850106689,arjun633@example.com,,10,1,False,2026-08-24T20:24:57.484296
pay_c79750b8c62a,25422.18,cust_5f4b23e4,Vivaan,+919827021296,vivaan308@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,3,1,False,2026-08-25T11:17:28.602853
pay_99ab64a9591d,1283.88,cust_e4728db3,Karan,+919874788932,karan110@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,10,7,False,2026-08-26T16:51:15.839946
